feature,F,p,q,eta2
MNase_TTS_bin14,54.507745649384034,1.8806089128018308e-13,5.410367179906805e-13,0.013700550340511427
H2A.Z_TTS_bin14,52.595562769022585,4.912672724263685e-13,1.3919239385413774e-12,0.013226279096986848
H3K9ac_TTS_bin11,52.40138104969497,5.416163112543776e-13,1.5116753761875913e-12,0.013178091452091282
H3K36me3_TTS_bin14,51.92575129226065,6.878646261079649e-13,1.8916277217969034e-12,0.01306004048878017
H3K27me_TTS_bin15,51.477519642961134,8.617097166794582e-13,2.3353582176675173e-12,0.012948763862607463
H2A.Z_TTS_bin15,51.27723521567684,9.530058497634227e-13,2.545887055796572e-12,0.012899033748244934
H3K18ac_TTS_bin07,50.48870444821652,1.416877254114702e-12,3.731775303090835e-12,0.012703194851632096
ATAC_TTS_bin11,50.108703731430175,1.7153954373597524e-12,4.4552631498093574e-12,0.012608790414912743
H2B.Z_TTS_bin11,48.78927672664692,3.3328618963976283e-12,8.537605131867896e-12,0.012280861965789059
H3K27me_TTS_bin07,48.70799939280289,3.4721140419949432e-12,8.774126025041275e-12,0.012260654294311968
H2B.Z_TTS_bin10,48.62160461409484,3.6265270265880408e-12,9.042140719626182e-12,0.012239173385560338
H3_TTS_bin06,47.93692571186345,5.120190824133567e-12,1.2598364264644434e-11,0.012068904065809663
H3K27ac_TTS_bin15,47.377020000193504,6.7894185691755535e-12,1.648858795371206e-11,0.011929620321011775
H2B.Z_TTS_bin12,44.802087548704286,2.488844234832928e-11,5.966844511714841e-11,0.011288566816990336
H2A.Zac_TTS_bin10,43.02831708639857,6.098440408131417e-11,1.4362443441798763e-10,0.010846485995845097
H3K18me_TTS_bin12,43.01347959024982,6.144360830716048e-11,1.4362443441798763e-10,0.010842786345836325
H3K27ac_TTS_bin14,42.770197585519526,6.948646267878953e-11,1.6041936445597087e-10,0.01078212133678748
H3K4me1_TTS_bin15,41.21624049628056,1.5253604071786796e-10,3.4785658066147937e-10,0.010394449633123158
H3_TTS_bin09,40.714657923172894,1.966434522702931e-10,4.430400671631905e-10,0.010269253007100477
H3_TTS_bin12,38.35477379227156,6.505208016368466e-10,1.4410328631761521e-09,0.009679792946849921
MNase_TTS_bin09,38.34120690492232,6.550149378073419e-10,1.4410328631761521e-09,0.00967640213268547
H3R17me2_TTS_bin07,37.90185941960052,8.186498818750896e-10,1.7800875338446715e-09,0.009566582102352467
H3K27ac_TTS_bin13,37.87371122007211,8.304323763314097e-10,1.7849523491261334e-09,0.009559545301207688
H3K4me2_TTS_bin08,37.75921691058342,8.801351451664604e-10,1.8702871834787283e-09,0.009530921705036987
H3K9ac_TTS_bin13,37.53122200909651,9.881616244222515e-10,2.076249705246753e-09,0.00947391801447484
H3K18ac_TTS_bin08,37.479414734237196,1.0145050216259136e-09,2.1079159893782873e-09,0.009460964152643858
H3K4me2_TTS_bin13,37.005517921198,1.2906179010316208e-09,2.6521488735484956e-09,0.009342455534022862
ATAC_TTS_bin12,35.7660347249827,2.423513114118955e-09,4.926053829785267e-09,0.009032360601948229
H2B.Z_TTS_bin13,35.57919052695008,2.6651606555651877e-09,5.3589789525880654e-09,0.008985598927297904
MNase_TTS_bin07,33.36959889700537,8.211873479474579e-09,1.6336386602784534e-08,0.008432267460261005
H3K4me3_TTS_bin08,33.28047603788338,8.593644336219944e-09,1.691591043024347e-08,0.008409936126439164
ATAC_TTS_bin09,31.806499053959744,1.8232347846891607e-08,3.551509424342427e-08,0.00804045876904402
H3K4me_TTS_bin12,29.60593877553392,5.617534782533188e-08,1.0829680457048517e-07,0.007488338300276616
H3K18me_TTS_bin10,29.365336153599134,6.35414820314915e-08,1.212475218356011e-07,0.007427933837799554
ATAC_TTS_bin10,28.73101145556879,8.794539404197992e-08,1.6611907763485095e-07,0.007268648276926075
H3K27ac_TTS_bin12,26.369471825472694,2.9564983576587005e-07,5.52865192882177e-07,0.006675191273510755
H3K18ac_TTS_bin09,25.704411569942792,4.162848599342839e-07,7.707452357199118e-07,0.0065079329720589656
H3K4me3_TTS_bin11,25.4104606938352,4.843109187814202e-07,8.879033510992703e-07,0.0064339882994514245
H3K9ac_TTS_bin08,24.77134984548171,6.732059471464515e-07,1.2222282729746255e-06,0.0062731790855530345
H3K18me_TTS_bin11,24.36442286816794,8.304038454927551e-07,1.4931299914148577e-06,0.006170763450064001
H3K27me_TTS_bin14,23.809978453190435,1.1055309655044706e-06,1.9688980052317713e-06,0.0060311865523273046
H3K27me_TTS_bin10,22.981207047890997,1.6965555945541745e-06,2.9929801526568927e-06,0.005822476936767474
H3K9ac_TTS_bin14,22.782662785797342,1.8800427724501202e-06,3.2856822284875937e-06,0.005772464493830633
ATAC_TTS_bin13,22.010210375367507,2.8044306128282587e-06,4.8558196722118924e-06,0.005577839184879798
H3K36me3_TTS_bin09,21.97061693081522,2.8625546709742975e-06,4.910988288735722e-06,0.005567861259925957
H3K9ac_TTS_bin10,21.88959920589725,2.9852870631584725e-06,5.074988007369403e-06,0.005547443397884848
H2B.Z_TTS_bin15,21.68599774052704,3.3175517728988643e-06,5.589028662451239e-06,0.005496128620712694
MNase_TTS_bin13,21.61869737391552,3.43535348970537e-06,5.735813415847359e-06,0.005479165381161709
H3K4me1_TTS_bin10,20.450601675858277,6.299754531175962e-06,1.0425257498494735e-05,0.005184651486615026
H3K9ac_TTS_bin09,20.215131232857726,7.120192901421262e-06,1.1679614671629614e-05,0.005125260808615934
H2B.Z_TTS_bin14,19.804090945418633,8.818009282848232e-06,1.4338849877327124e-05,0.005021570668504262
H3K4me1_TTS_bin11,19.717059815489076,9.22672168298076e-06,1.4874111678598293e-05,0.004999613186350533
H3K18me_TTS_bin09,17.61659653236337,2.762055480475743e-05,4.414567306401401e-05,0.00446938358942916
H3K9ac_TTS_bin05,17.032576425316968,3.7506969637842535e-05,5.943901120573351e-05,0.004321856288933858
H3R17me2_TTS_bin11,16.90621142326242,4.007681841716819e-05,6.297785751269287e-05,0.00428992990857215
H3K4me1_TTS_bin14,16.85866733692974,4.108893143212787e-05,6.40302514817326e-05,0.004277917266269824
H3K27ac_TTS_bin05,16.25473096471852,5.642264508718321e-05,8.719863331655587e-05,0.004125299523652564
H3K27ac_TTS_bin11,15.43091914303428,8.704833339282674e-05,0.0001334265438070377,0.003917042704835918
H3K27me_TTS_bin09,15.344456089638033,9.110767268072976e-05,0.00013851329098615013,0.0038951800891434594
ATAC_TTS_bin15,14.631639494442624,0.00013273354343113297,0.00020017074694856344,0.0037149042697277265
H3K36me3_TTS_bin13,14.523526811972625,0.0001405418158300269,0.00021025055648172023,0.003687556190308872
H3K18ac_TTS_bin15,14.399503668391553,0.0001500709499706243,0.00022272434638497416,0.003656181566897732
H3K36me3_TTS_bin10,14.083783727704441,0.00017737331530161626,0.0002611717319795452,0.003576303730738058
H3K27me_TTS_bin11,13.450613745913891,0.0002481735214412347,0.0003625660039805539,0.003416071734069974
H3_TTS_bin13,13.415046498879349,0.0002529071341090623,0.0003666173184371679,0.003407069445424075
H3R17me2_TTS_bin10,13.070538459712466,0.00030374528273306316,0.000436925906700637,0.0033198639272604977
H2A.Zac_TTS_bin11,12.518767714144042,0.00040755178871409217,0.000581772400683475,0.003180162080470261
H3K18ac_TTS_bin14,12.424616266656857,0.0004285511387928923,0.0006071141132899308,0.003156320132567528
H3R17me2_TTS_bin15,12.25695930715535,0.00046868743285623726,0.0006589815785271908,0.0031138615781101777
H3R17me2_TTS_bin12,10.868632231637273,0.0009867709427010987,0.0013770609424261602,0.002762133440138049
ATAC_TTS_bin14,10.439905203437268,0.0012434012131905632,0.0017223409397528542,0.0026534666826732107
H3K4me1_TTS_bin09,10.023760297453283,0.0015571754083051235,0.002141116186419545,0.0025479663845994105
H3K4me3_TTS_bin05,9.655191271295598,0.0019016730733084218,0.0025957143409392324,0.002454508796988683
H3K9ac_TTS_bin15,9.621743184972187,0.0019365327143799071,0.002624142156442338,0.0024460265407170692
